sintomas,doenca
"febre, nariz entupido, coriza, irritação na garganta",COVID-19
"nariz entupido, tosse, dor de cabeça, diarreia, mialgia",COVID-19
"falta de ar, arrepios, diarreia, congestão nasal, perda de fala ou movimento",COVID-19
"dor torácica, anosmia, dificuldade para respirar, coriza, cansaço",COVID-19
"tosse, dor no peito, dificuldade para respirar, cefaleia, paralisia",COVID-19
"dor de garganta, tosse, mialgia",COVID-19
"falta de ar, evacuações líquidas, arrepios, sem paladar",COVID-19
"cefaleia, cansaço, congestão nasal",COVID-19
"nariz escorrendo, mialgia, fadiga, anosmia, falta de ar",COVID-19
"dor torácica, dores no corpo, febre, coriza, congestão nasal",COVID-19
"dor de garganta, dor torácica, perda de fala ou movimento",COVID-19
"congestão nasal, tosse seca, cefaleia, mialgia",COVID-19
"arrepios, febre, evacuações líquidas, dores no corpo, falta de ar",COVID-19
"irritação na garganta, paralisia, diarreia, tosse",COVID-19
"perda de fala ou movimento, dificuldade para respirar, irritação na garganta, diarreia, nariz entupido",COVID-19
"diarreia, dor de cabeça, mialgia",COVID-19
"fadiga, congestão nasal, dificuldade para respirar, coriza, anosmia",COVID-19
"arrepios, cansaço, congestão nasal",COVID-19
"dor de cabeça, paralisia, fadiga",COVID-19
"dificuldade para respirar, calafrios, mialgia, cefaleia",COVID-19
"perda de fala ou movimento, sem paladar, congestão nasal, tosse, febre",COVID-19
"febre alta, fadiga, nariz entupido",COVID-19
"dor torácica, mialgia, nariz escorrendo",COVID-19
"coriza, arrepios, dor de cabeça, nariz entupido",COVID-19
"congestão nasal, sem paladar, febre alta, dor no peito",COVID-19
"paralisia, coriza, dor de cabeça, tosse, dificuldade para respirar",COVID-19
"nariz entupido, calafrios, fadiga, dor de cabeça",COVID-19
"febre, perda de fala ou movimento, coriza, dor no peito, cansaço",COVID-19
"dores no corpo, nariz entupido, dor de garganta",COVID-19
"nariz escorrendo, febre alta, sem sentir cheiro, dificuldade para respirar, fadiga",COVID-19
"calafrios, cefaleia, dores no corpo",COVID-19
"febre, nariz escorrendo, irritação na garganta, congestão nasal, paralisia",COVID-19
"dor no peito, febre, dor de cabeça",COVID-19
"cefaleia, dificuldade para respirar, congestão nasal, dores no corpo, diarreia",COVID-19
"nariz entupido, perda de fala ou movimento, evacuações líquidas",COVID-19
"cansaço, cefaleia, febre alta, falta de ar",COVID-19
"perda de fala ou movimento, sem sentir cheiro, fadiga, dores no corpo",COVID-19
"paralisia, irritação na garganta, tosse, dificuldade para respirar, calafrios",COVID-19
"falta de ar, mialgia, arrepios",COVID-19
"coriza, falta de ar, evacuações líquidas, calafrios, mialgia",COVID-19
"dor de cabeça, calafrios, mialgia",COVID-19
"irritação na garganta, calafrios, diarreia, fadiga, sem paladar",COVID-19
"cansaço, sem olfato, nariz entupido",COVID-19
"febre alta, sem sentir cheiro, dor de garganta, fadiga, arrepios",COVID-19
"coriza, congestão nasal, sem sentir cheiro",COVID-19
"tosse, dor no peito, paralisia",COVID-19
"dor de garganta, mialgia, anosmia, febre alta, tosse",COVID-19
"falta de ar, cansaço, congestão nasal, perda de fala ou movimento, sem sentir cheiro",COVID-19
"febre alta, diarreia, irritação na garganta, tosse, arrepios",COVID-19
"fadiga, congestão nasal, tosse, perda de fala ou movimento, irritação na garganta",COVID-19
"tosse, coriza, calafrios, fadiga",COVID-19
"arrepios, tosse seca, dor de garganta, febre alta",COVID-19
"dor torácica, dificuldade para respirar, perda de fala ou movimento, febre, calafrios",COVID-19
"cefaleia, dores no corpo, dor torácica, tosse seca, nariz entupido",COVID-19
"tosse, diarreia, sem olfato",COVID-19
"anosmia, dor de garganta, mialgia",COVID-19
"congestão nasal, dificuldade para respirar, tosse",COVID-19
"falta de ar, coriza, mialgia, dor de cabeça, tosse",COVID-19
"fadiga, dor torácica, tosse, calafrios",COVID-19
"perda de paladar ou olfato, dor de cabeça, diarreia",COVID-19
"diarreia, sem sentir cheiro, tosse seca, febre alta, arrepios",COVID-19
"dor torácica, irritação na garganta, mialgia, falta de ar",COVID-19
"dor de garganta, congestão nasal, coriza, febre alta, diarreia",COVID-19
"cansaço, dor de garganta, tosse seca, perda de paladar ou olfato, arrepios",COVID-19
"dores no corpo, evacuações líquidas, sem sentir cheiro, nariz escorrendo",COVID-19
"diarreia, perda de paladar ou olfato, febre alta, mialgia",COVID-19
"dor de cabeça, coriza, dificuldade para respirar, calafrios, diarreia",COVID-19
"mialgia, dor de cabeça, arrepios, febre, nariz entupido",COVID-19
"evacuações líquidas, cansaço, calafrios",COVID-19
"perda de fala ou movimento, anosmia, cefaleia, congestão nasal",COVID-19
"dificuldade para respirar, dor torácica, dores no corpo",COVID-19
"calafrios, mialgia, dor torácica, fadiga, falta de ar",COVID-19
"perda de fala ou movimento, dor de cabeça, dores no corpo",COVID-19
"febre, congestão nasal, irritação na garganta",COVID-19
"coriza, perda de fala ou movimento, febre alta, mialgia",COVID-19
"sem olfato, dor no peito, perda de fala ou movimento, tosse, diarreia",COVID-19
"coriza, dificuldade para respirar, perda de fala ou movimento, dor de garganta, perda de paladar ou olfato",COVID-19
"irritação na garganta, paralisia, calafrios",COVID-19
"dificuldade para respirar, dor no peito, dores no corpo",COVID-19
"fadiga, falta de ar, tosse seca, dor de cabeça, febre alta",COVID-19
"dor torácica, dor de garganta, tosse",COVID-19
"nariz escorrendo, dores no corpo, diarreia, febre",COVID-19
"dores no corpo, perda de fala ou movimento, sem paladar, falta de ar",COVID-19
"febre alta, dor de garganta, mialgia, nariz entupido, fadiga",COVID-19
"tosse seca, dor no peito, febre, paralisia",COVID-19
"tosse seca, evacuações líquidas, falta de ar, dor de garganta",COVID-19
"nariz entupido, perda de fala ou movimento, dor torácica, tosse, dor de garganta",COVID-19
"calafrios, dor torácica, dores no corpo, cefaleia, paralisia",COVID-19
"nariz escorrendo, calafrios, tosse seca, dificuldade para respirar, dor torácica",COVID-19
"paralisia, congestão nasal, dor de garganta, sem sentir cheiro",COVID-19
"anosmia, falta de ar, congestão nasal",COVID-19
"perda de fala ou movimento, cefaleia, congestão nasal, nariz escorrendo",COVID-19
"congestão nasal, dor torácica, irritação na garganta, febre alta, calafrios",COVID-19
"nariz entupido, tosse seca, fadiga, febre alta",COVID-19
"perda de fala ou movimento, tosse seca, evacuações líquidas",COVID-19
"febre alta, paralisia, congestão nasal, dor de garganta",COVID-19
"perda de fala ou movimento, dor no peito, falta de ar",COVID-19
"mialgia, fadiga, nariz escorrendo",COVID-19
"febre, dores no corpo, dor torácica, perda de paladar ou olfato",COVID-19
"cefaleia, perda de fala ou movimento, mialgia, congestão nasal, cansaço",COVID-19
"falta de ar, irritação na garganta, diarreia",COVID-19
"sem sentir cheiro, dor torácica, nariz escorrendo, calafrios, congestão nasal",COVID-19
"perda de paladar ou olfato, dores no corpo, paralisia",COVID-19
"congestão nasal, dor no peito, coriza",COVID-19
"arrepios, tosse, dificuldade para respirar, coriza",COVID-19
"febre, arrepios, irritação na garganta",COVID-19
"evacuações líquidas, fadiga, nariz escorrendo, arrepios",COVID-19
"dor torácica, sem olfato, fadiga, dor de cabeça, coriza",COVID-19
"nariz entupido, tosse, calafrios, coriza",COVID-19
"falta de ar, irritação na garganta, tosse, dor no peito",COVID-19
"nariz entupido, dor de cabeça, dor torácica, irritação na garganta, mialgia",COVID-19
"anosmia, dor de cabeça, dor de garganta, paralisia",COVID-19
"mialgia, sem paladar, calafrios, nariz escorrendo, congestão nasal",COVID-19
"tosse, evacuações líquidas, dor no peito",COVID-19
"nariz entupido, febre, dificuldade para respirar, cefaleia, dor torácica",COVID-19
"dor de cabeça, dor torácica, falta de ar",COVID-19
"falta de ar, febre alta, cefaleia",COVID-19
"tosse, dor no peito, anosmia, febre alta, arrepios",COVID-19
"dor de garganta, nariz escorrendo, cansaço, congestão nasal, dores no corpo",COVID-19
"fadiga, dor de garganta, paralisia, congestão nasal",COVID-19
"dor de cabeça, mialgia, nariz escorrendo, febre alta",COVID-19
"diarreia, fadiga, arrepios, tosse, paralisia",COVID-19
"dores no corpo, nariz escorrendo, febre alta, evacuações líquidas",COVID-19
"dores no corpo, nariz entupido, dor de garganta",COVID-19
"cefaleia, nariz escorrendo, falta de ar",COVID-19
"nariz entupido, febre alta, arrepios, tosse seca",COVID-19
"mialgia, cefaleia, paralisia, febre, calafrios",COVID-19
"mialgia, dor de cabeça, cansaço, perda de fala ou movimento, coriza",COVID-19
"diarreia, congestão nasal, coriza",COVID-19
"evacuações líquidas, tosse, mialgia, dor torácica",COVID-19
"cefaleia, cansaço, dor no peito",COVID-19
"nariz entupido, dores no corpo, febre",COVID-19
"dificuldade para respirar, mialgia, diarreia, dor torácica, dor de garganta",COVID-19
"cansaço, sem sentir cheiro, calafrios, dor de cabeça, tosse seca",COVID-19
"febre, cefaleia, evacuações líquidas, nariz escorrendo",COVID-19
"nariz entupido, tosse, febre, arrepios",COVID-19
"dor de garganta, dor de cabeça, paralisia",COVID-19
"sem paladar, dor de cabeça, congestão nasal, evacuações líquidas, mialgia",COVID-19
"cansaço, febre alta, mialgia, irritação na garganta, nariz escorrendo",COVID-19
"sem paladar, tosse, falta de ar, paralisia",COVID-19
"cansaço, febre, anosmia",COVID-19
"cefaleia, anosmia, perda de fala ou movimento, dificuldade para respirar, fadiga",COVID-19
"cefaleia, dor de garganta, calafrios, nariz escorrendo, sem paladar",COVID-19
"fadiga, irritação na garganta, nariz escorrendo, dificuldade para respirar, sem olfato",COVID-19
"dificuldade para respirar, cansaço, sem sentir cheiro, perda de fala ou movimento",COVID-19
"dor torácica, febre, perda de fala ou movimento, congestão nasal",COVID-19
"irritação na garganta, dor torácica, paralisia, dor de cabeça, fadiga",COVID-19
"dores no corpo, dor no peito, dor de garganta, cansaço, paralisia",COVID-19
"fadiga, febre, nariz escorrendo",COVID-19
"diarreia, fadiga, febre alta",COVID-19
"tosse seca, dor no peito, coriza",COVID-19
"cefaleia, diarreia, fadiga, calafrios, paralisia",COVID-19
"dificuldade para respirar, perda de fala ou movimento, dor no peito",COVID-19
"perda de fala ou movimento, mialgia, dor no peito, perda de paladar ou olfato",COVID-19
"febre alta, paralisia, tosse seca, dificuldade para respirar, sem olfato",COVID-19
"febre alta, tosse seca, sem olfato, irritação na garganta, evacuações líquidas",COVID-19
"mialgia, fadiga, febre, arrepios, cefaleia",COVID-19
"paralisia, dor torácica, nariz entupido, dor de cabeça",COVID-19
"diarreia, mialgia, falta de ar, dor torácica",COVID-19
"tosse, dor torácica, dificuldade para respirar, paralisia, cefaleia",COVID-19
"dor torácica, tosse, dor de garganta, falta de ar",COVID-19
"dor no peito, febre, falta de ar",COVID-19
"dor de garganta, coriza, calafrios, fadiga",COVID-19
"tosse, nariz escorrendo, cefaleia",COVID-19
"dor no peito, dor de cabeça, coriza",COVID-19
"mialgia, sem sentir cheiro, dor de cabeça, coriza, fadiga",COVID-19
"febre alta, coriza, fadiga, dores no corpo, falta de ar",COVID-19
"dor de garganta, cansaço, dificuldade para respirar, tosse seca",COVID-19
"sem paladar, dores no corpo, fadiga",COVID-19
"coriza, paralisia, evacuações líquidas, tosse seca",COVID-19
"tosse, arrepios, dor torácica, perda de paladar ou olfato",COVID-19
"dor no peito, febre alta, irritação na garganta, evacuações líquidas, perda de fala ou movimento",COVID-19
"dor de garganta, sem olfato, tosse, dor torácica",COVID-19
"dores no corpo, febre alta, dificuldade para respirar, dor de garganta, evacuações líquidas",COVID-19
"congestão nasal, arrepios, paralisia, tosse seca",COVID-19
"nariz entupido, diarreia, tosse",COVID-19
"paralisia, evacuações líquidas, congestão nasal, febre, cansaço",COVID-19
"febre, nariz entupido, tosse, paralisia",COVID-19
"dificuldade para respirar, dores no corpo, sem olfato, nariz escorrendo, tosse seca",COVID-19
"evacuações líquidas, dor no peito, paralisia, tosse seca, dores no corpo",COVID-19
"diarreia, dor de garganta, dor de cabeça, nariz entupido",COVID-19
"paralisia, dores no corpo, evacuações líquidas, dor de garganta",COVID-19
"cefaleia, febre alta, falta de ar",COVID-19
"paralisia, cansaço, evacuações líquidas, arrepios, anosmia",COVID-19
"sem paladar, mialgia, febre, nariz entupido, calafrios",COVID-19
"perda de fala ou movimento, febre, cefaleia",COVID-19
"cefaleia, mialgia, nariz escorrendo",COVID-19
"diarreia, congestão nasal, dor no peito, cansaço",COVID-19
"dor torácica, dor de garganta, diarreia",COVID-19
"calafrios, dores no corpo, dor no peito, cefaleia",COVID-19
"nariz escorrendo, evacuações líquidas, anosmia",COVID-19
"congestão nasal, irritação na garganta, mialgia, febre alta",COVID-19
"dor de cabeça, dor torácica, congestão nasal, irritação na garganta, cansaço",COVID-19
"dor de cabeça, dificuldade para respirar, tosse seca",COVID-19
"nariz escorrendo, irritação na garganta, diarreia, congestão nasal",COVID-19
"congestão nasal, nariz escorrendo, dor no peito, sem sentir cheiro, febre",COVID-19
"arrepios, perda de fala ou movimento, mialgia, perda de paladar ou olfato",COVID-19
"evacuações líquidas, dor torácica, nariz entupido, falta de ar, fadiga",COVID-19
"perda de paladar ou olfato, cansaço, arrepios, congestão nasal, tosse seca",COVID-19
"perda de fala ou movimento, dor no peito, febre alta, tosse seca, dor de garganta",COVID-19
"arrepios, perda de fala ou movimento, fadiga, falta de ar",COVID-19
"perda de fala ou movimento, nariz entupido, dificuldade para respirar, irritação na garganta",COVID-19
"dor no peito, falta de ar, fadiga, cefaleia, perda de paladar ou olfato",COVID-19
"dor de garganta, nariz entupido, febre, nariz escorrendo",COVID-19
"fadiga, falta de ar, diarreia, calafrios, congestão nasal",COVID-19
"tosse seca, sem paladar, dores no corpo, evacuações líquidas",COVID-19
"nariz entupido, nariz escorrendo, tosse seca, cefaleia",COVID-19
"calafrios, nariz escorrendo, sem olfato, dor de garganta, nariz entupido",COVID-19
"dor de cabeça, dor no peito, diarreia",COVID-19
"febre alta, tosse seca, cansaço, nariz escorrendo, sem olfato",COVID-19
"dor de garganta, dores no corpo, falta de ar, sem paladar, dor no peito",COVID-19
"mialgia, cefaleia, febre",COVID-19
"dor torácica, perda de paladar ou olfato, dores no corpo, tosse seca",COVID-19
"cansaço, febre, dor torácica, diarreia",COVID-19
"congestão nasal, sem paladar, diarreia, coriza",COVID-19
"dor de cabeça, irritação na garganta, tosse, fadiga",COVID-19
"febre alta, fadiga, nariz entupido, mialgia",COVID-19
"falta de ar, evacuações líquidas, cansaço",COVID-19
"sem sentir cheiro, febre alta, tosse seca, dores no corpo, coriza",COVID-19
"febre alta, nariz entupido, paralisia, cansaço",COVID-19
"calafrios, cansaço, dor de garganta",COVID-19
"dor torácica, febre, tosse seca, irritação na garganta, cefaleia",COVID-19
"cefaleia, febre, dor torácica, fadiga, sem sentir cheiro",COVID-19
"diarreia, tosse seca, nariz escorrendo, dificuldade para respirar, arrepios",COVID-19
"fadiga, tosse seca, perda de fala ou movimento, congestão nasal",COVID-19
"nariz escorrendo, cefaleia, mialgia, irritação na garganta",COVID-19
"perda de paladar ou olfato, tosse, falta de ar",COVID-19
"dor de cabeça, diarreia, febre, mialgia",COVID-19
"sem paladar, arrepios, paralisia",COVID-19
"nariz escorrendo, dor de cabeça, dificuldade para respirar, tosse",COVID-19
"dor de cabeça, falta de ar, nariz entupido, evacuações líquidas, cansaço",COVID-19
"tosse seca, perda de fala ou movimento, dor de garganta",COVID-19
"tosse, nariz entupido, dor torácica",COVID-19
"falta de ar, calafrios, dor de cabeça",COVID-19
"tosse, dor torácica, calafrios, dor de cabeça, cansaço",COVID-19
"anosmia, evacuações líquidas, tosse, coriza",COVID-19
"anosmia, cansaço, perda de fala ou movimento, dor de cabeça",COVID-19
"nariz entupido, dor de cabeça, arrepios, dor torácica, sem sentir cheiro",COVID-19
"falta de ar, dor torácica, paralisia, calafrios, dores no corpo",COVID-19
"dor no peito, arrepios, coriza, febre alta",COVID-19
"dor no peito, dor de cabeça, perda de fala ou movimento",COVID-19
"sem sentir cheiro, evacuações líquidas, dor de garganta, nariz entupido",COVID-19
"cefaleia, evacuações líquidas, dificuldade para respirar, paralisia",COVID-19
"tosse seca, calafrios, evacuações líquidas",COVID-19
"tosse, dor de garganta, dor torácica",COVID-19
"dor de garganta, nariz entupido, tosse seca, perda de fala ou movimento",COVID-19
"febre alta, dores no corpo, arrepios, fadiga, perda de fala ou movimento",COVID-19
"congestão nasal, cefaleia, coriza",COVID-19
"tosse, arrepios, falta de ar, perda de fala ou movimento",COVID-19
"dor de cabeça, congestão nasal, paralisia, dores no corpo",COVID-19
"dificuldade para respirar, nariz escorrendo, febre alta",COVID-19
"sem olfato, febre, dor no peito, congestão nasal, dificuldade para respirar",COVID-19
"nariz entupido, febre, dor de garganta",COVID-19
"fadiga, cefaleia, febre alta, congestão nasal, dor no peito",COVID-19
"coriza, congestão nasal, dor de garganta, paralisia, tosse",COVID-19
"nariz entupido, dor no peito, mialgia, falta de ar, sem olfato",COVID-19
"nariz escorrendo, fadiga, nariz entupido, cefaleia",COVID-19
"paralisia, sem paladar, evacuações líquidas",COVID-19
"falta de ar, febre, dor no peito, cansaço",COVID-19
"dor torácica, febre, sem olfato",COVID-19
"congestão nasal, febre alta, diarreia, cansaço",COVID-19
"arrepios, nariz entupido, perda de paladar ou olfato",COVID-19
"cansaço, dor torácica, tosse seca",COVID-19
"arrepios, paralisia, febre, dificuldade para respirar, fadiga",COVID-19
"coriza, febre alta, perda de fala ou movimento, tosse, dor torácica",COVID-19
"dores no corpo, dor de garganta, falta de ar, cefaleia, arrepios",COVID-19
"coriza, evacuações líquidas, cansaço, cefaleia, febre",COVID-19
"fadiga, dor de cabeça, perda de paladar ou olfato, paralisia, febre",COVID-19
"dor de garganta, dificuldade para respirar, cansaço",COVID-19
"dor no peito, calafrios, dor de garganta, diarreia",COVID-19
"sem paladar, dores no corpo, dor torácica",COVID-19
"nariz escorrendo, anosmia, dor torácica",COVID-19
"arrepios, anosmia, evacuações líquidas, febre, congestão nasal",COVID-19
"tosse, sem paladar, nariz entupido, febre alta, arrepios",COVID-19
"irritação na garganta, dores no corpo, evacuações líquidas",COVID-19
"arrepios, mialgia, congestão nasal, evacuações líquidas",COVID-19
"calafrios, cansaço, febre, nariz entupido",COVID-19
"calafrios, febre alta, sem paladar, tosse",COVID-19
"sem paladar, evacuações líquidas, tosse seca, perda de fala ou movimento",COVID-19
"tosse, sem olfato, nariz escorrendo",COVID-19
"fadiga, febre alta, nariz entupido, coriza, sem olfato",COVID-19
"coriza, fadiga, dor no peito, dores no corpo, nariz entupido",COVID-19
"dor torácica, nariz entupido, dor de cabeça",COVID-19
"nariz escorrendo, dor de cabeça, dor de garganta",COVID-19
"tosse, dor de garganta, dor de cabeça, febre alta, perda de fala ou movimento",COVID-19
"coriza, dor torácica, dores no corpo, perda de fala ou movimento, nariz entupido",COVID-19
"febre, nariz entupido, sem paladar, coriza",COVID-19
"dificuldade para respirar, congestão nasal, nariz escorrendo, cefaleia, tosse seca",COVID-19
"congestão nasal, febre, dificuldade para respirar, arrepios",COVID-19
"febre alta, coriza, dor torácica, dor de cabeça",COVID-19
"coriza, congestão nasal, dores no corpo, dor torácica",COVID-19
"dor de cabeça, dor no peito, falta de ar",COVID-19
"tosse seca, irritação na garganta, calafrios",COVID-19
"dor de cabeça, irritação na garganta, dificuldade para respirar, cansaço, mialgia",COVID-19
"dificuldade para respirar, calafrios, tosse, mialgia, nariz entupido",COVID-19
"congestão nasal, dor de cabeça, coriza, perda de fala ou movimento, dores no corpo",COVID-19
"irritação na garganta, congestão nasal, dificuldade para respirar",COVID-19
"coriza, dores no corpo, irritação na garganta, falta de ar, dor de cabeça",COVID-19
"paralisia, dificuldade para respirar, arrepios, dores no corpo, irritação na garganta",COVID-19
"tosse, dor de cabeça, perda de fala ou movimento, coriza",COVID-19
"dor de garganta, calafrios, cansaço",COVID-19
"irritação na garganta, nariz entupido, dor no peito, fadiga, nariz escorrendo",COVID-19
"dor torácica, fadiga, irritação na garganta",COVID-19
"arrepios, cansaço, paralisia, tosse, dor de cabeça",COVID-19
"dificuldade para respirar, nariz escorrendo, dor torácica, fadiga",COVID-19
"sem sentir cheiro, dificuldade para respirar, febre alta",COVID-19
"perda de fala ou movimento, febre, cefaleia, fadiga, mialgia",COVID-19
"cefaleia, falta de ar, dor no peito, nariz entupido",COVID-19
"dificuldade para respirar, sem paladar, dor de cabeça, perda de fala ou movimento, calafrios",COVID-19
"febre alta, fadiga, evacuações líquidas",COVID-19
"paralisia, cansaço, febre alta, coriza",COVID-19
"irritação na garganta, dor no peito, dores no corpo, sem olfato",COVID-19
"nariz escorrendo, tosse, sem olfato, perda de fala ou movimento",COVID-19
"nariz escorrendo, dor torácica, dores no corpo, fadiga, paralisia",COVID-19
"calafrios, paralisia, irritação na garganta, fadiga",COVID-19
"febre, nariz entupido, dificuldade para respirar, diarreia",COVID-19
"dor no peito, febre, coriza, fadiga",COVID-19
"febre, dor de garganta, tosse seca",COVID-19
"fadiga, dor no peito, dor de garganta",COVID-19
"diarreia, arrepios, paralisia, mialgia",COVID-19
"cansaço, dor de garganta, congestão nasal, tosse seca",COVID-19
"cefaleia, congestão nasal, falta de ar, febre, paralisia",COVID-19
"dificuldade para respirar, cansaço, tosse seca",COVID-19
"coriza, sem sentir cheiro, cefaleia, arrepios, dificuldade para respirar",COVID-19
"sem olfato, dor de cabeça, febre alta, mialgia",COVID-19
"falta de ar, tosse seca, evacuações líquidas, sem paladar, mialgia",COVID-19
"congestão nasal, mialgia, anosmia",COVID-19
"falta de ar, coriza, congestão nasal, febre alta",COVID-19
"dor torácica, evacuações líquidas, fadiga",COVID-19
"dor de garganta, dor de cabeça, nariz entupido",COVID-19
"falta de ar, evacuações líquidas, irritação na garganta",COVID-19
"perda de fala ou movimento, nariz entupido, dificuldade para respirar",COVID-19
"sem sentir cheiro, tosse, arrepios",COVID-19
"paralisia, diarreia, dor de garganta, arrepios",COVID-19
"congestão nasal, coriza, diarreia, febre",COVID-19
"nariz entupido, sem paladar, cefaleia",COVID-19
"dor no peito, evacuações líquidas, coriza, mialgia, fadiga",COVID-19
"falta de ar, dores no corpo, tosse, dor torácica, irritação na garganta",COVID-19
"tosse seca, dor torácica, evacuações líquidas, cefaleia",COVID-19
"sem paladar, paralisia, coriza, irritação na garganta, arrepios",COVID-19
"febre, tosse seca, anosmia",COVID-19
"dores no corpo, dificuldade para respirar, dor de garganta",COVID-19
"febre, dificuldade para respirar, tosse seca, dor de cabeça",COVID-19
"falta de ar, nariz entupido, tosse",COVID-19
"perda de fala ou movimento, tosse seca, nariz entupido",COVID-19
"evacuações líquidas, cansaço, tosse",COVID-19
"paralisia, irritação na garganta, febre, dores no corpo",COVID-19
"sem sentir cheiro, febre alta, dores no corpo, dor torácica, fadiga",COVID-19
"nariz escorrendo, tosse, anosmia",COVID-19
"evacuações líquidas, dificuldade para respirar, dor torácica, dores no corpo",COVID-19
"falta de ar, dores no corpo, perda de fala ou movimento",COVID-19
"calafrios, tosse seca, irritação na garganta",COVID-19
"cansaço, sem sentir cheiro, cefaleia",COVID-19
"cefaleia, paralisia, falta de ar, evacuações líquidas, dores no corpo",COVID-19
"tosse, falta de ar, cefaleia, sem sentir cheiro",COVID-19
"calafrios, nariz escorrendo, febre, tosse, paralisia",COVID-19
"anosmia, dor torácica, tosse seca, cefaleia",COVID-19
"evacuações líquidas, tosse, febre alta, coriza",COVID-19
"dor de cabeça, cansaço, dor no peito, anosmia, tosse",COVID-19
"irritação na garganta, perda de fala ou movimento, cefaleia, dores no corpo, sem olfato",COVID-19
"febre alta, dor no peito, fadiga",COVID-19
"evacuações líquidas, dificuldade para respirar, anosmia, tosse seca",COVID-19
"nariz entupido, irritação na garganta, evacuações líquidas, calafrios",COVID-19
"dor de cabeça, nariz entupido, coriza",COVID-19
"perda de fala ou movimento, dificuldade para respirar, evacuações líquidas, irritação na garganta, nariz escorrendo",COVID-19
"sem olfato, calafrios, falta de ar, nariz entupido",COVID-19
"irritação na garganta, falta de ar, perda de fala ou movimento, nariz escorrendo, cefaleia",COVID-19
"paralisia, diarreia, nariz entupido, dificuldade para respirar",COVID-19
"paralisia, nariz escorrendo, sem paladar",COVID-19
"falta de ar, febre, congestão nasal, perda de fala ou movimento, dor no peito",COVID-19
"irritação na garganta, tosse seca, dor torácica, congestão nasal, calafrios",COVID-19
"irritação na garganta, diarreia, cansaço, arrepios",COVID-19
"dor de garganta, nariz entupido, febre alta, paralisia",COVID-19
"irritação na garganta, evacuações líquidas, nariz entupido, nariz escorrendo",COVID-19
"tosse seca, paralisia, dor de garganta, falta de ar, coriza",COVID-19
"cansaço, falta de ar, paralisia, dor no peito",COVID-19
"dores no corpo, congestão nasal, dor torácica, diarreia, nariz escorrendo",COVID-19
"nariz entupido, arrepios, tosse seca, dor no peito, falta de ar",COVID-19
"cefaleia, fadiga, perda de paladar ou olfato, dor torácica",COVID-19
"dor de cabeça, nariz escorrendo, tosse, febre, calafrios",COVID-19
"perda de fala ou movimento, febre, calafrios, dificuldade para respirar, dores no corpo",COVID-19
"perda de paladar ou olfato, nariz entupido, febre alta",COVID-19
"nariz entupido, diarreia, mialgia, dor de garganta",COVID-19
"perda de fala ou movimento, irritação na garganta, cansaço, febre, dores no corpo",COVID-19
"fadiga, mialgia, febre alta, dor no peito",COVID-19
"calafrios, tosse seca, falta de ar, mialgia, cefaleia",COVID-19
"tosse seca, perda de fala ou movimento, calafrios, fadiga, nariz escorrendo",COVID-19
"irritação na garganta, cansaço, dor no peito, perda de paladar ou olfato, dificuldade para respirar",COVID-19
"cefaleia, congestão nasal, dor de garganta, sem paladar, dores no corpo",COVID-19
"dor no peito, anosmia, congestão nasal, dor de cabeça",COVID-19
"coriza, tosse seca, dor torácica, febre",COVID-19
"nariz escorrendo, sem olfato, congestão nasal, irritação na garganta",COVID-19
"dores no corpo, perda de fala ou movimento, diarreia, cefaleia",COVID-19
"sem olfato, dor de garganta, nariz escorrendo, paralisia, cansaço",COVID-19
"tosse seca, fadiga, mialgia, dor de garganta, congestão nasal",COVID-19
"diarreia, cefaleia, dor no peito",COVID-19
"tosse seca, mialgia, dor no peito",COVID-19
"diarreia, falta de ar, tosse seca",COVID-19
"dores no corpo, nariz escorrendo, dificuldade para respirar",COVID-19
"perda de fala ou movimento, cansaço, dores no corpo",COVID-19
"dificuldade para respirar, paralisia, cefaleia",COVID-19
"diarreia, dificuldade para respirar, coriza",COVID-19
"tosse, evacuações líquidas, febre alta",COVID-19
"nariz escorrendo, nariz entupido, dor de cabeça, tosse, sem paladar",COVID-19
"febre, mialgia, dor de garganta",COVID-19
"nariz escorrendo, dor torácica, diarreia, nariz entupido",COVID-19
"falta de ar, nariz entupido, tosse seca, diarreia",COVID-19
"tosse, coriza, evacuações líquidas, dores no corpo",COVID-19
"febre, sem sentir cheiro, tosse seca, evacuações líquidas, cansaço",COVID-19
"congestão nasal, paralisia, coriza",COVID-19
"irritação na garganta, paralisia, dor torácica, sem sentir cheiro",COVID-19
"dor de cabeça, congestão nasal, febre alta",COVID-19
"sem olfato, dor de cabeça, dor torácica, tosse",COVID-19
"tosse, diarreia, calafrios, dor de garganta",COVID-19
"febre alta, dores no corpo, coriza, dor no peito, tosse",COVID-19
"febre, diarreia, dificuldade para respirar",COVID-19
"arrepios, dor de cabeça, nariz escorrendo, perda de fala ou movimento, evacuações líquidas",COVID-19
"fadiga, nariz escorrendo, calafrios, sem paladar, falta de ar",COVID-19
"anosmia, coriza, tosse seca, dor de cabeça",COVID-19
"perda de paladar ou olfato, perda de fala ou movimento, fadiga, diarreia",COVID-19
"diarreia, fadiga, febre",COVID-19
"tosse seca, dor de garganta, dor no peito, febre, coriza",COVID-19
"dor de cabeça, paralisia, dor no peito",COVID-19
"fadiga, congestão nasal, nariz escorrendo, cefaleia",COVID-19
"tosse, dor de garganta, dor no peito",COVID-19
